id,src,dst,hop_count,path
30,node2_0,node7_2,5,node2_0->sw_2->sw_1->sw_0->sw_7->node7_2
31,node3_3,node7_2,6,node3_3->sw_3->sw_2->sw_1->sw_0->sw_7->node7_2
32,node2_1,node5_0,5,node2_1->sw_2->sw_3->sw_4->sw_5->node5_0
33,node4_4,node2_3,4,node4_4->sw_4->sw_3->sw_2->node2_3
34,node1_1,node0_0,3,node1_1->sw_1->sw_0->node0_0
35,node2_0,node3_1,3,node2_0->sw_2->sw_3->node3_1
36,node5_4,node0_2,5,node5_4->sw_5->sw_6->sw_7->sw_0->node0_2
37,node2_1,node2_3,2,node2_1->sw_2->node2_3
38,node1_1,node7_4,4,node1_1->sw_1->sw_0->sw_7->node7_4
39,node5_4,node5_1,2,node5_4->sw_5->node5_1
40,node1_1,node3_1,4,node1_1->sw_1->sw_2->sw_3->node3_1
41,node2_1,node4_0,4,node2_1->sw_2->sw_3->sw_4->node4_0
42,node2_4,node2_3,2,node2_4->sw_2->node2_3
43,node3_2,node4_1,3,node3_2->sw_3->sw_4->node4_1
44,node4_3,node0_0,6,node4_3->sw_4->sw_3->sw_2->sw_1->sw_0->node0_0
45,node1_2,node3_4,4,node1_2->sw_1->sw_2->sw_3->node3_4
46,node1_1,node3_0,4,node1_1->sw_1->sw_2->sw_3->node3_0
47,node0_1,node0_2,2,node0_1->sw_0->node0_2
48,node1_0,node3_4,4,node1_0->sw_1->sw_2->sw_3->node3_4
49,node4_2,node7_4,5,node4_2->sw_4->sw_5->sw_6->sw_7->node7_4
50,node7_1,node7_0,2,node7_1->sw_7->node7_0
