id,src,dst,hop_count,path
14,node9_2,node11_1,4,node9_2->sw_9->sw_10->sw_11->node11_1
15,node7_1,node0_3,4,node7_1->sw_7->sw_8->sw_0->node0_3
16,node7_0,node10_1,5,node7_0->sw_7->sw_8->sw_9->sw_10->node10_1
17,node8_1,node1_1,4,node8_1->sw_8->sw_0->sw_1->node1_1
18,node3_3,node0_2,5,node3_3->sw_3->sw_2->sw_1->sw_0->node0_2
19,node3_3,node3_0,2,node3_3->sw_3->node3_0
20,node10_0,node1_3,6,node10_0->sw_10->sw_9->sw_5->sw_0->sw_1->node1_3
21,node4_3,node9_3,4,node4_3->sw_4->sw_5->sw_9->node9_3
22,node10_0,node10_1,2,node10_0->sw_10->node10_1
23,node9_1,node9_3,2,node9_1->sw_9->node9_3
24,node10_0,node9_0,3,node10_0->sw_10->sw_9->node9_0
25,node4_2,node1_3,5,node4_2->sw_4->sw_5->sw_0->sw_1->node1_3
26,node5_3,node7_3,5,node5_3->sw_5->sw_0->sw_8->sw_7->node7_3
27,node8_3,node7_3,3,node8_3->sw_8->sw_7->node7_3
28,node9_2,node3_2,5,node9_2->sw_9->sw_5->sw_4->sw_3->node3_2
