id,src,dst,hop_count,path
61,node3_1,node1_2,4,node3_1->sw_3->sw_2->sw_1->node1_2
62,node11_3,node2_1,8,node11_3->sw_11->sw_6->sw_7->sw_8->sw_0->sw_1->sw_2->node2_1
63,node3_4,node11_4,7,node3_4->sw_3->sw_4->sw_5->sw_9->sw_10->sw_11->node11_4
64,node6_4,node8_1,4,node6_4->sw_6->sw_7->sw_8->node8_1
65,node3_3,node0_3,5,node3_3->sw_3->sw_2->sw_1->sw_0->node0_3
66,node7_2,node11_0,4,node7_2->sw_7->sw_6->sw_11->node11_0
67,node1_1,node10_3,6,node1_1->sw_1->sw_0->sw_5->sw_9->sw_10->node10_3
68,node3_4,node10_1,6,node3_4->sw_3->sw_4->sw_5->sw_9->sw_10->node10_1
69,node3_4,node10_3,6,node3_4->sw_3->sw_4->sw_5->sw_9->sw_10->node10_3
70,node8_2,node2_1,5,node8_2->sw_8->sw_0->sw_1->sw_2->node2_1
71,node11_3,node11_0,2,node11_3->sw_11->node11_0
72,node0_2,node10_3,5,node0_2->sw_0->sw_5->sw_9->sw_10->node10_3
73,node1_3,node2_1,3,node1_3->sw_1->sw_2->node2_1
74,node6_3,node6_1,2,node6_3->sw_6->node6_1
75,node1_4,node6_1,6,node1_4->sw_1->sw_0->sw_8->sw_7->sw_6->node6_1
76,node1_1,node8_1,4,node1_1->sw_1->sw_0->sw_8->node8_1
77,node6_2,node10_0,4,node6_2->sw_6->sw_11->sw_10->node10_0
78,node7_3,node11_0,4,node7_3->sw_7->sw_6->sw_11->node11_0
79,node0_2,node11_0,6,node0_2->sw_0->sw_8->sw_7->sw_6->sw_11->node11_0
80,node3_1,node6_0,8,node3_1->sw_3->sw_2->sw_1->sw_0->sw_8->sw_7->sw_6->node6_0
