id,src,dst,hop_count,path
0,node10_2,node5_3,4,node10_2->sw_10->sw_9->sw_5->node5_3
1,node2_0,node8_1,5,node2_0->sw_2->sw_1->sw_0->sw_8->node8_1
2,node2_3,node0_3,4,node2_3->sw_2->sw_1->sw_0->node0_3
3,node5_1,node8_1,4,node5_1->sw_5->sw_0->sw_8->node8_1
4,node6_4,node11_4,3,node6_4->sw_6->sw_11->node11_4
5,node2_4,node2_1,2,node2_4->sw_2->node2_1
6,node3_4,node1_0,4,node3_4->sw_3->sw_2->sw_1->node1_0
7,node9_3,node0_0,4,node9_3->sw_9->sw_5->sw_0->node0_0
8,node11_3,node10_4,3,node11_3->sw_11->sw_10->node10_4
9,node2_0,node7_4,6,node2_0->sw_2->sw_1->sw_0->sw_8->sw_7->node7_4
10,node0_2,node7_1,4,node0_2->sw_0->sw_8->sw_7->node7_1
11,node2_2,node8_0,5,node2_2->sw_2->sw_1->sw_0->sw_8->node8_0
