id,src,dst,hop_count,path
20,node2_2,node3_2,3,node2_2->sw_2->sw_3->node3_2
21,node2_0,node4_0,4,node2_0->sw_2->sw_3->sw_4->node4_0
22,node2_2,node4_0,4,node2_2->sw_2->sw_3->sw_4->node4_0
23,node2_2,node4_3,4,node2_2->sw_2->sw_3->sw_4->node4_3
24,node5_0,node3_3,4,node5_0->sw_5->sw_4->sw_3->node3_3
25,node5_1,node4_2,3,node5_1->sw_5->sw_4->node4_2
26,node5_4,node0_0,3,node5_4->sw_5->sw_0->node0_0
27,node0_4,node4_3,4,node0_4->sw_0->sw_5->sw_4->node4_3
28,node0_4,node4_0,4,node0_4->sw_0->sw_5->sw_4->node4_0
29,node5_4,node5_3,2,node5_4->sw_5->node5_3
30,node2_3,node3_4,3,node2_3->sw_2->sw_3->node3_4
31,node0_3,node5_3,3,node0_3->sw_0->sw_5->node5_3
32,node5_0,node3_3,4,node5_0->sw_5->sw_4->sw_3->node3_3
33,node0_3,node3_2,5,node0_3->sw_0->sw_1->sw_2->sw_3->node3_2
34,node5_0,node3_3,4,node5_0->sw_5->sw_4->sw_3->node3_3
35,node2_3,node5_2,5,node2_3->sw_2->sw_1->sw_0->sw_5->node5_2
36,node5_4,node3_4,4,node5_4->sw_5->sw_4->sw_3->node3_4
37,node2_3,node3_0,3,node2_3->sw_2->sw_3->node3_0
38,node5_0,node2_4,5,node5_0->sw_5->sw_0->sw_1->sw_2->node2_4
39,node0_4,node4_3,4,node0_4->sw_0->sw_5->sw_4->node4_3
40,node3_1,node3_0,2,node3_1->sw_3->node3_0
