id,src,dst,hop_count,path
0,node3_3,node7_2,6,node3_3->sw_3->sw_2->sw_1->sw_0->sw_7->node7_2
1,node4_4,node0_2,6,node4_4->sw_4->sw_3->sw_2->sw_1->sw_0->node0_2
2,node1_0,node3_1,4,node1_0->sw_1->sw_2->sw_3->node3_1
3,node5_4,node4_0,3,node5_4->sw_5->sw_4->node4_0
4,node0_4,node2_2,4,node0_4->sw_0->sw_1->sw_2->node2_2
5,node2_1,node3_0,3,node2_1->sw_2->sw_3->node3_0
6,node4_2,node1_4,5,node4_2->sw_4->sw_3->sw_2->sw_1->node1_4
7,node2_0,node4_1,4,node2_0->sw_2->sw_3->sw_4->node4_1
8,node5_3,node7_4,4,node5_3->sw_5->sw_6->sw_7->node7_4
9,node3_3,node7_0,6,node3_3->sw_3->sw_2->sw_1->sw_0->sw_7->node7_0
10,node2_4,node2_3,2,node2_4->sw_2->node2_3
11,node2_4,node0_2,4,node2_4->sw_2->sw_1->sw_0->node0_2
12,node4_2,node5_0,3,node4_2->sw_4->sw_5->node5_0
13,node4_2,node3_4,3,node4_2->sw_4->sw_3->node3_4
14,node0_3,node7_2,3,node0_3->sw_0->sw_7->node7_2
15,node3_3,node0_0,5,node3_3->sw_3->sw_2->sw_1->sw_0->node0_0
16,node0_4,node5_1,5,node0_4->sw_0->sw_7->sw_6->sw_5->node5_1
17,node2_0,node1_4,3,node2_0->sw_2->sw_1->node1_4
18,node0_1,node4_0,6,node0_1->sw_0->sw_1->sw_2->sw_3->sw_4->node4_0
19,node5_4,node4_0,3,node5_4->sw_5->sw_4->node4_0
20,node1_1,node7_4,4,node1_1->sw_1->sw_0->sw_7->node7_4
21,node1_0,node0_0,3,node1_0->sw_1->sw_0->node0_0
22,node2_0,node5_0,5,node2_0->sw_2->sw_3->sw_4->sw_5->node5_0
23,node3_3,node7_2,6,node3_3->sw_3->sw_2->sw_1->sw_0->sw_7->node7_2
24,node1_0,node7_3,4,node1_0->sw_1->sw_0->sw_7->node7_3
