id,src,dst,hop_count,path
30,node2_0,node7_2,5,node2_0->sw_2->sw_1->sw_0->sw_7->node7_2
31,node3_3,node7_2,6,node3_3->sw_3->sw_2->sw_1->sw_0->sw_7->node7_2
32,node2_1,node5_0,5,node2_1->sw_2->sw_3->sw_4->sw_5->node5_0
33,node4_4,node2_3,4,node4_4->sw_4->sw_3->sw_2->node2_3
34,node1_1,node0_0,3,node1_1->sw_1->sw_0->node0_0
35,node2_0,node3_1,3,node2_0->sw_2->sw_3->node3_1
36,node5_4,node0_2,5,node5_4->sw_5->sw_6->sw_7->sw_0->node0_2
37,node2_1,node2_3,2,node2_1->sw_2->node2_3
38,node1_1,node7_4,4,node1_1->sw_1->sw_0->sw_7->node7_4
39,node5_4,node5_1,2,node5_4->sw_5->node5_1
40,node1_1,node3_1,4,node1_1->sw_1->sw_2->sw_3->node3_1

