id,src,dst,hop_count,path
0,node10_2,node5_3,4,node10_2->sw_10->sw_9->sw_5->node5_3
1,node2_0,node8_1,5,node2_0->sw_2->sw_1->sw_0->sw_8->node8_1
2,node2_3,node0_3,4,node2_3->sw_2->sw_1->sw_0->node0_3
3,node1_4,node6_1,6,node1_4->sw_1->sw_0->sw_8->sw_7->sw_6->node6_1
4,node5_1,node8_1,4,node5_1->sw_5->sw_0->sw_8->node8_1
5,node9_1,node5_2,3,node9_1->sw_9->sw_5->node5_2
6,node10_2,node1_0,6,node10_2->sw_10->sw_9->sw_5->sw_0->sw_1->node1_0
7,node6_4,node7_1,3,node6_4->sw_6->sw_7->node7_1
8,node6_4,node11_4,3,node6_4->sw_6->sw_11->node11_4
9,node2_4,node2_1,2,node2_4->sw_2->node2_1
10,node3_4,node1_0,4,node3_4->sw_3->sw_2->sw_1->node1_0
11,node9_3,node0_0,4,node9_3->sw_9->sw_5->sw_0->node0_0
12,node11_3,node10_4,3,node11_3->sw_11->sw_10->node10_4
13,node11_1,node10_0,3,node11_1->sw_11->sw_10->node10_0
14,node9_3,node5_3,3,node9_3->sw_9->sw_5->node5_3
15,node1_3,node2_1,3,node1_3->sw_1->sw_2->node2_1
16,node0_2,node3_0,5,node0_2->sw_0->sw_1->sw_2->sw_3->node3_0
17,node2_0,node7_4,6,node2_0->sw_2->sw_1->sw_0->sw_8->sw_7->node7_4
18,node0_2,node7_1,4,node0_2->sw_0->sw_8->sw_7->node7_1
19,node3_2,node11_2,7,node3_2->sw_3->sw_4->sw_5->sw_9->sw_10->sw_11->node11_2
20,node2_2,node8_0,5,node2_2->sw_2->sw_1->sw_0->sw_8->node8_0
