id,src,dst,hop_count,path
81,node2_3,node1_2,3,node2_3->sw_2->sw_1->node1_2
82,node3_1,node7_4,7,node3_1->sw_3->sw_2->sw_1->sw_0->sw_8->sw_7->node7_4
83,node2_0,node10_0,7,node2_0->sw_2->sw_1->sw_0->sw_5->sw_9->sw_10->node10_0
84,node6_2,node7_4,3,node6_2->sw_6->sw_7->node7_4
85,node1_3,node5_2,4,node1_3->sw_1->sw_0->sw_5->node5_2
86,node10_2,node6_1,4,node10_2->sw_10->sw_11->sw_6->node6_1
87,node11_3,node9_2,4,node11_3->sw_11->sw_10->sw_9->node9_2
88,node6_2,node8_0,4,node6_2->sw_6->sw_7->sw_8->node8_0
89,node1_3,node5_3,4,node1_3->sw_1->sw_0->sw_5->node5_3
90,node1_1,node10_0,6,node1_1->sw_1->sw_0->sw_5->sw_9->sw_10->node10_0
91,node2_2,node0_3,4,node2_2->sw_2->sw_1->sw_0->node0_3
92,node11_1,node5_0,5,node11_1->sw_11->sw_10->sw_9->sw_5->node5_0
93,node2_2,node1_2,3,node2_2->sw_2->sw_1->node1_2
94,node6_3,node11_0,3,node6_3->sw_6->sw_11->node11_0
95,node7_3,node7_0,2,node7_3->sw_7->node7_0
96,node10_2,node10_0,2,node10_2->sw_10->node10_0
97,node2_4,node5_3,5,node2_4->sw_2->sw_1->sw_0->sw_5->node5_3
98,node3_1,node1_0,4,node3_1->sw_3->sw_2->sw_1->node1_0
99,node11_3,node6_1,3,node11_3->sw_11->sw_6->node6_1
100,node7_2,node5_2,5,node7_2->sw_7->sw_8->sw_0->sw_5->node5_2
