id,src,dst,hop_count,path
21,node6_3,node10_4,4,node6_3->sw_6->sw_11->sw_10->node10_4
22,node2_2,node5_3,5,node2_2->sw_2->sw_1->sw_0->sw_5->node5_3
23,node1_3,node3_0,4,node1_3->sw_1->sw_2->sw_3->node3_0
24,node1_1,node1_0,2,node1_1->sw_1->node1_0
25,node3_1,node5_0,4,node3_1->sw_3->sw_4->sw_5->node5_0
26,node3_4,node7_0,7,node3_4->sw_3->sw_2->sw_1->sw_0->sw_8->sw_7->node7_0
27,node6_3,node10_1,4,node6_3->sw_6->sw_11->sw_10->node10_1
28,node10_2,node9_2,3,node10_2->sw_10->sw_9->node9_2
29,node6_2,node8_0,4,node6_2->sw_6->sw_7->sw_8->node8_0
30,node0_1,node11_0,6,node0_1->sw_0->sw_8->sw_7->sw_6->sw_11->node11_0
31,node2_0,node1_2,3,node2_0->sw_2->sw_1->node1_2
32,node8_2,node0_3,3,node8_2->sw_8->sw_0->node0_3
33,node9_3,node5_3,3,node9_3->sw_9->sw_5->node5_3
34,node11_1,node8_0,5,node11_1->sw_11->sw_6->sw_7->sw_8->node8_0
35,node9_0,node1_2,5,node9_0->sw_9->sw_5->sw_0->sw_1->node1_2
36,node0_2,node7_4,4,node0_2->sw_0->sw_8->sw_7->node7_4
37,node3_1,node11_0,7,node3_1->sw_3->sw_4->sw_5->sw_9->sw_10->sw_11->node11_0
38,node1_4,node6_0,6,node1_4->sw_1->sw_0->sw_8->sw_7->sw_6->node6_0
39,node2_4,node7_4,6,node2_4->sw_2->sw_1->sw_0->sw_8->sw_7->node7_4
40,node3_2,node8_3,6,node3_2->sw_3->sw_2->sw_1->sw_0->sw_8->node8_3
