id,src,dst,hop_count,path
0,node4_0,node1_1,5,node4_0->sw_4->sw_5->sw_0->sw_1->node1_1
1,node2_3,node0_0,4,node2_3->sw_2->sw_1->sw_0->node0_0
2,node5_1,node4_1,3,node5_1->sw_5->sw_4->node4_1
3,node1_3,node2_0,3,node1_3->sw_1->sw_2->node2_0
4,node4_3,node0_0,4,node4_3->sw_4->sw_5->sw_0->node0_0
5,node0_3,node0_2,2,node0_3->sw_0->node0_2
6,node4_0,node0_2,4,node4_0->sw_4->sw_5->sw_0->node0_2
7,node4_3,node1_1,5,node4_3->sw_4->sw_5->sw_0->sw_1->node1_1
8,node1_3,node0_2,3,node1_3->sw_1->sw_0->node0_2
9,node0_1,node4_2,4,node0_1->sw_0->sw_5->sw_4->node4_2
10,node2_3,node1_0,3,node2_3->sw_2->sw_1->node1_0
11,node5_3,node4_1,3,node5_3->sw_5->sw_4->node4_1
12,node4_0,node0_0,4,node4_0->sw_4->sw_5->sw_0->node0_0
13,node5_1,node1_1,4,node5_1->sw_5->sw_0->sw_1->node1_1
14,node5_2,node1_2,4,node5_2->sw_5->sw_0->sw_1->node1_2
15,node2_1,node0_0,4,node2_1->sw_2->sw_1->sw_0->node0_0
16,node5_2,node1_0,4,node5_2->sw_5->sw_0->sw_1->node1_0
17,node5_3,node1_1,4,node5_3->sw_5->sw_0->sw_1->node1_1
18,node5_3,node2_2,5,node5_3->sw_5->sw_0->sw_1->sw_2->node2_2
19,node0_3,node4_2,4,node0_3->sw_0->sw_5->sw_4->node4_2
20,node5_1,node4_2,3,node5_1->sw_5->sw_4->node4_2
