id,src,dst,hop_count,path
0,node2_1,node5_2,5,node2_1->sw_2->sw_1->sw_0->sw_5->node5_2
1,node5_4,node3_2,4,node5_4->sw_5->sw_4->sw_3->node3_2
2,node0_4,node0_1,2,node0_4->sw_0->node0_1
3,node2_3,node4_3,4,node2_3->sw_2->sw_3->sw_4->node4_3
4,node0_4,node3_3,5,node0_4->sw_0->sw_1->sw_2->sw_3->node3_3
5,node0_4,node0_1,2,node0_4->sw_0->node0_1
6,node3_1,node3_4,2,node3_1->sw_3->node3_4
7,node2_2,node3_0,3,node2_2->sw_2->sw_3->node3_0
8,node2_3,node2_4,2,node2_3->sw_2->node2_4
9,node5_4,node5_3,2,node5_4->sw_5->node5_3
10,node2_0,node2_4,2,node2_0->sw_2->node2_4
11,node5_0,node5_2,2,node5_0->sw_5->node5_2
12,node4_1,node2_4,4,node4_1->sw_4->sw_3->sw_2->node2_4
13,node5_0,node4_0,3,node5_0->sw_5->sw_4->node4_0
14,node3_1,node3_3,2,node3_1->sw_3->node3_3
15,node5_4,node4_4,3,node5_4->sw_5->sw_4->node4_4
16,node4_1,node3_4,3,node4_1->sw_4->sw_3->node3_4
17,node0_2,node3_4,5,node0_2->sw_0->sw_1->sw_2->sw_3->node3_4
18,node5_1,node5_3,2,node5_1->sw_5->node5_3
19,node0_3,node4_2,4,node0_3->sw_0->sw_5->sw_4->node4_2
