id,src,dst,hop_count,path
41,node7_3,node11_0,4,node7_3->sw_7->sw_6->sw_11->node11_0
42,node0_2,node5_2,3,node0_2->sw_0->sw_5->node5_2
43,node3_3,node8_0,6,node3_3->sw_3->sw_2->sw_1->sw_0->sw_8->node8_0
44,node11_1,node10_1,3,node11_1->sw_11->sw_10->node10_1
45,node3_1,node1_0,4,node3_1->sw_3->sw_2->sw_1->node1_0
46,node10_2,node1_0,6,node10_2->sw_10->sw_9->sw_5->sw_0->sw_1->node1_0
47,node8_2,node7_1,3,node8_2->sw_8->sw_7->node7_1
48,node0_2,node9_2,4,node0_2->sw_0->sw_5->sw_9->node9_2
49,node3_1,node0_0,5,node3_1->sw_3->sw_2->sw_1->sw_0->node0_0
50,node11_1,node5_0,5,node11_1->sw_11->sw_10->sw_9->sw_5->node5_0
51,node3_4,node5_3,4,node3_4->sw_3->sw_4->sw_5->node5_3
52,node3_2,node5_2,4,node3_2->sw_3->sw_4->sw_5->node5_2
53,node3_4,node3_0,2,node3_4->sw_3->node3_0
54,node8_2,node5_0,4,node8_2->sw_8->sw_0->sw_5->node5_0
55,node0_1,node10_0,5,node0_1->sw_0->sw_5->sw_9->sw_10->node10_0
56,node6_3,node7_0,3,node6_3->sw_6->sw_7->node7_0
57,node1_1,node8_3,4,node1_1->sw_1->sw_0->sw_8->node8_3
58,node1_3,node6_0,6,node1_3->sw_1->sw_0->sw_8->sw_7->sw_6->node6_0
59,node9_0,node11_0,4,node9_0->sw_9->sw_10->sw_11->node11_0
60,node3_1,node11_4,7,node3_1->sw_3->sw_4->sw_5->sw_9->sw_10->sw_11->node11_4
